,0
967,ALTG
968,ALTG+
969,ALTG-WT
970,ALTHE.PA
971,ALTHX.PA
972,ALT.L
973,ALTLX.PA
974,ALTM
975,ALTN
976,ALTN.L
977,ALTR
978,ALTRI.PA
979,ALTR.LS
980,ALTRO.PA
981,ALTTI.PA
982,ALTUR.PA
983,ALTUV.PA
984,ALTVO.PA
985,ALTX
986,ALTXC.PA
987,ALU10.PA
988,ALU.AX
989,ALUCI.PA
990,ALUCR.PA
991,ALU.L
992,ALUMS.PA
993,ALUPG.PA
994,ALUS
995,ALUS+
996,ALUS-WT
997,ALUVI.PA
998,ALV
999,ALVAL.PA
1000,ALV.DE
1001,ALVDM.PA
1002,ALVER.PA
1003,ALVGO.PA
1004,ALVIA.PA
1005,ALVIV.PA
1006,ALVMG.PA
1007,ALVR
1008,ALVU.PA
1009,ALVW
1010,ALWEC.PA
1011,ALWED.PA
1012,ALWIT.PA
1013,ALWOO.PA
1014,ALX
1015,ALXA
1016,ALX.AS
1017,ALX.AX
1018,ALXN
1019,ALXO
1020,ALYA
1021,ALYA.TO
1022,ALY.AX
1023,ALZ
1024,AM
1025,AM3D.DE
1026,AMA.AX
1027,AMAG
1028,AMAL
1029,AMAR
1030,AMARAJABAT.NS
1031,AMARD
1032,AMAT
1033,AMAT.L
1034,AMBA
1035,AMB.AX
1036,AMBC
1037,AMBC+
1038,AMBCW
1039,AMBC-WT
1040,AMBER.NS
1041,AMBIKCO.NS
1042,AMBO
1043,AMBR
1044,AMBUJACEM.NS
1045,AMC
1046,AMCC
1047,AMCI
1048,AMCIU
1049,AMCIW
1050,AMC.L
1051,AMCO
1052,AMCR
1053,AMCT
1054,AMCX
1055,AMD
1056,AMD.AX
1057,AMD.DE
1058,AMDIND.NS
1059,AMD.SW
1060,AME
1061,AME.AX
1062,AMEBA.PA
1063,AMED
1064,AMEH
1065,AMEHE
1066,AMEZ.ME
1067,AMG
1068,AMG.AS
1069,AMG.AX
1070,AMG.DE
1071,AMGN
1072,AMGO.L
1073,AMH
1074,AMH.AX
1075,AMHC
1076,AMHCU
1077,AMHCW
1078,AMHG
1079,AMH-PD
1080,AMH-PE
1081,AMH-PH
1082,AMI.AX
1083,AMIC
1084,AMID
1085,AMIH
1086,AMJ
1087,AMJLAND.NS
1088,AMK
1089,AMKR
1090,AML.AX
1091,AML.L
1092,AMMJ
1093,AMMN.DE
1094,AMM.TO
1095,AMMX
1096,AMN
1097,AMN.AX
1098,AMNB
1099,AMNL
1100,AMO.AX
1101,AMO.L
1102,AMOT
1103,AMOV
1104,AMP
1105,AM.PA
1106,AMP.AX
1107,AMPE
1108,AMPG
1109,AMPH
1110,AMPLI.PA
1111,AMPY
1112,AMRB
1113,AMRC
1114,AMRH
1115,AMRI
1116,AMRK
1117,AMRN
1118,AMRQQ
1119,AMRS
1120,AMRUTANJAN.NS
1121,AMRX
1122,AMS
1123,AMS.AX
1124,AMSC
1125,AMSC.OL
1126,AMSF
1127,AMSG
1128,AMSGP
1129,AMS.L
1130,AMS.SW
1131,AMST
1132,AMSU
1133,AMSUE
1134,AMSWA
1135,AMT
1136,AMT.AX
1137,AMTB
1138,AMTBB
1139,AMTD
1140,AMTG
1141,AMTI
1142,AMTX
1143,AMTY
1144,AMUN.PA
1145,AMWD
1146,AMWL
1147,AMX.AX
1148,AMYT
1149,AMYT.L
1150,AMZ.DE
1151,AMZN
1152,AN
1153,ANA.AX
1154,ANAB
1155,ANAC
1156,ANAD
1157,ANANTRAJ.NS
1158,ANAT
1159,ANCB
1160,ANCN
1161,ANCR.L
1162,ANCX
1163,ANDA
1164,AND.AS
1165,ANDAU
1166,ANDAW
1167,ANDE
1168,ANDF.OL
1169,ANDHRACEMT.NS
1170,ANDHRAPAP.NS
1171,ANDHRSUGAR.NS
1172,ANDR
1173,AND.TO
1174,ANET
1175,ANF
1176,ANFC
1177,ANG.AX
1178,ANGELBRKG.NS
1179,ANGI
1180,ANG.L
1181,ANGO
1182,ANGS.L
1183,ANH
1184,ANIC.L
1185,ANII.L
1186,ANIK
1187,ANIKINDS.NS
1188,ANIP
1189,ANIX
1190,ANKITMETAL.NS
1191,ANL.AX
1192,ANL.DE
1193,ANN.AX
1194,ANNX
1195,ANO.AX
1196,ANP.AX
1197,ANPC
1198,ANP.L
1199,ANR.AX
1200,ANSALAPI.NS
1201,ANSALHSG.NS
1202,ANS.AX
1203,ANSS
1204,ANSU
1205,ANTA.PA
1206,ANTE
1207,ANTH
1208,ANTM
1209,ANTO.L
1210,ANUP.NS
1211,ANVI
1212,ANVS
1213,ANVV
1214,ANW.AX
1215,ANW.L
1216,ANX.L
1217,ANX.TO
1218,ANY
1219,ANZ.AX
1220,AO1.AX
1221,AOA.AX
1222,AOBC
1223,AOF.AX
1224,AOF.DE
1225,AOF.L
1226,AOGL.L
1227,AOI.TO
1228,AO.L
1229,AOMD.DE
1230,AON
1231,AON.AX
1232,AONE
1233,AONE-WT
1234,AOP.AX
1235,AOS
1236,AOSL
1237,AOT.TO
1238,AOU.AX
1239,AOUT
1240,AOW.OL
1241,AOX.DE
1242,AOX.SW
1243,AOXY
1244,AP
1245,AP+
1246,AP2.DE
1247,APA
1248,APA.AX
1249,APAM
1250,APAM.AS
1251,APARINDS.NS
1252,APAX.L
1253,APC
